Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 32,Unnamed: 33,Unnamed: 34
Digital ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conversion,Sin dato,Sin dato
Digital ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",Historica,Año actual ,Ultimos 3 meses 
Leads ,0.0,0.0,25.0,28.0,68.0,294.0,248.0,52.0,59.0,154.0,280.0,172.0,184.0,275.0,301.0,275.0,355.0,492.0,397.0,312.0,324.0,274.0,325.0,290.0,433.0,401.0,351.0,352.0,403.0,145.0,0.013748365949726664,0.011774731869024196,0.010814622760818515
Efectivos ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,218.0,226.0,209.0,291.0,261.0,387.0,364.0,351.0,347.0,403.0,145.0,Sin dato,Sin dato,Sin dato
SDC ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,16.0,27.0,19.0,23.0,35.0,36.0,25.0,44.0,38.0,31.0,34.0,23.0,25.0,26.0,12.0,18.0,16.0,3.0,Aporte,Sin dato,Sin dato
PDM ,0.0,0.0,1.0,11.0,5.0,6.0,17.0,8.0,5.0,19.0,14.0,22.0,28.0,20.0,23.0,23.0,44.0,37.0,30.0,41.0,43.0,33.0,18.0,15.0,39.0,35.0,30.0,31.0,41.0,12.0,Historica,Año actual ,Ultimos 3 meses 
Citas Programadas,0.0,0.0,1.0,3.0,2.0,30.0,50.0,13.0,13.0,20.0,40.0,53.0,48.0,35.0,52.0,29.0,90.0,77.0,67.0,74.0,77.0,60.0,46.0,23.0,105.0,70.0,41.0,68.0,100.0,26.0,0.26910184417424915,0.24997944406688646,0.20487804878048785
Citas Efectivas ,0.0,0.0,0.0,2.0,2.0,8.0,18.0,4.0,6.0,10.0,19.0,35.0,36.0,28.0,25.0,27.0,61.0,51.0,44.0,52.0,48.0,32.0,41.0,19.0,82.0,55.0,31.0,49.0,59.0,15.0,Sin dato,Sin dato,Sin dato
Ventas ,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,7.0,4.0,1.0,3.0,8.0,5.0,13.0,14.0,6.0,15.0,12.0,11.0,9.0,6.0,6.0,7.0,7.0,7.0,10.0,1.0,Cota (Ventas) Ultimo Semestre,Sin dato,Sin dato
Conversion ,0.0,0.0,0.0,0.0,0.0,0.0068027210884353,0.0120967741935483,0.0,0.0338983050847457,0.0194805194805194,0.025,0.0232558139534883,0.0054347826086956,0.0109090909090909,0.0265780730897009,0.0181818181818181,0.0366197183098591,0.0284552845528455,0.0151133501259445,0.048076923076923,0.037037037037037,0.0401459854014598,0.0276923076923076,0.0206896551724137,0.0138568129330254,0.0174563591022443,0.0199430199430199,0.0198863636363636,0.0248138957816377,0.0068965517241379,Minima ,Optima ,Maxima 
